User ID,Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use
U13263,20,Male,Kolkata,Xiaomi,Android,9.0,2.9,6.5,143,2.3,8616,1.3,4.1,1430,Entertainment
U13264,52,Female,Mumbai,OnePlus,iOS,2.2,49.2,106.8,96,1.5,7411,0.5,1.8,227,Education
U13265,44,Female,Kolkata,Apple,iOS,11.7,10.8,51.0,116,2.4,2424,0.6,1.9,595,Gaming
U13266,32,Other,Delhi,Apple,iOS,1.8,26.2,47.5,21,4.2,7014,5.3,1.9,203,Entertainment
U13267,49,Male,Delhi,Oppo,Android,5.2,32.4,193.8,140,2.4,6312,1.5,3.5,138,Gaming
U13268,39,Female,Chennai,Oppo,iOS,11.3,18.2,21.6,18,4.7,4229,1.4,2.2,400,Entertainment
U13269,50,Female,Jaipur,Xiaomi,iOS,7.6,30.8,291.2,24,4.7,799,5.1,0.7,1909,Social Media
U13270,49,Other,Bangalore,Samsung,Android,9.3,31.7,169.0,15,5.7,5932,3.4,0.6,615,Entertainment
U13271,40,Male,Mumbai,Vivo,Android,8.3,21.0,137.4,106,3.2,6041,1.1,2.3,1134,Education
U13272,49,Female,Ahmedabad,Samsung,Android,1.7,6.3,282.1,116,2.9,2192,7.0,1.7,1293,Gaming
U13273,25,Other,Pune,Motorola,iOS,1.3,6.6,99.0,97,4.6,7246,3.9,2.4,170,Gaming
U13274,27,Male,Ahmedabad,Nokia,iOS,6.3,13.1,62.5,84,2.9,7480,1.5,1.4,1627,Entertainment
U13275,25,Female,Ahmedabad,Motorola,iOS,4.8,36.2,173.0,183,4.0,6919,4.0,4.8,1610,Gaming
U13276,50,Female,Kolkata,Oppo,Android,5.6,7.8,127.8,136,4.1,2298,6.9,4.9,302,Social Media
U13277,28,Male,Pune,Xiaomi,Android,9.4,21.5,97.6,149,3.6,7264,4.4,3.4,556,Work
U13278,56,Other,Delhi,Realme,Android,7.3,36.8,135.3,194,4.4,4911,3.1,2.1,1408,Social Media
U13279,40,Other,Chennai,Motorola,Android,9.2,46.9,236.8,20,2.7,1369,7.8,4.3,1031,Education
U13280,16,Male,Chennai,Samsung,Android,1.7,45.9,290.9,79,3.7,3435,2.0,2.9,1635,Education
U13281,43,Female,Lucknow,Vivo,iOS,3.5,13.9,209.6,81,5.4,4244,3.3,3.5,1667,Social Media
U13282,43,Female,Kolkata,Apple,Android,2.5,33.6,73.1,179,0.9,8340,5.8,3.7,571,Education
U13283,15,Male,Mumbai,OnePlus,iOS,8.2,7.2,193.2,148,4.3,7132,6.1,4.7,1365,Social Media
U13284,31,Male,Kolkata,Motorola,iOS,7.4,49.7,86.0,80,1.7,4754,2.0,4.2,367,Entertainment
U13285,35,Female,Hyderabad,Motorola,Android,7.3,45.4,170.6,68,0.7,6662,3.8,3.9,1684,Social Media
U13286,54,Other,Hyderabad,Google Pixel,Android,6.6,35.0,34.8,131,2.6,7234,7.0,4.6,818,Social Media
U13287,51,Male,Jaipur,Samsung,iOS,4.8,45.8,219.8,22,4.5,1928,2.9,0.1,592,Entertainment
U13288,22,Other,Ahmedabad,Motorola,Android,5.1,21.6,100.5,166,5.2,6712,7.1,1.4,1448,Work
U13289,45,Other,Chennai,Samsung,Android,8.7,14.9,5.5,22,2.5,5029,0.6,0.3,1119,Education
U13290,52,Other,Bangalore,Vivo,iOS,7.3,4.7,230.3,122,1.4,4612,7.4,1.8,1320,Social Media
U13291,50,Other,Delhi,OnePlus,Android,6.0,29.1,225.7,79,5.6,8919,3.4,2.9,998,Gaming
U13292,54,Male,Lucknow,Vivo,iOS,7.3,2.4,257.3,78,2.5,8709,1.6,1.4,1905,Education
U13293,21,Female,Chennai,OnePlus,iOS,4.6,46.4,14.8,200,5.5,9465,5.4,3.1,1337,Entertainment
U13294,51,Male,Hyderabad,Oppo,iOS,4.7,12.5,39.9,159,5.4,3163,0.6,1.9,1692,Gaming
U13295,42,Other,Lucknow,Motorola,Android,5.3,17.8,7.9,108,3.3,9165,7.5,3.9,424,Entertainment
U13296,33,Other,Bangalore,Vivo,iOS,5.6,15.9,144.4,197,1.2,906,6.3,1.6,243,Gaming
U13297,24,Male,Pune,OnePlus,Android,10.3,22.5,210.9,127,1.6,3478,2.8,1.5,1948,Entertainment
U13298,58,Other,Ahmedabad,Google Pixel,Android,1.9,3.9,187.3,61,4.0,1097,7.5,4.8,1247,Work
U13299,38,Female,Jaipur,Vivo,Android,10.9,19.6,282.7,16,1.0,1059,6.9,0.7,1021,Social Media
U13300,47,Female,Bangalore,Apple,Android,4.2,27.9,222.5,84,2.3,5476,2.1,4.6,653,Gaming
U13301,34,Female,Pune,Motorola,Android,11.6,9.1,83.0,124,1.7,1224,4.5,4.2,1303,Social Media
U13302,33,Male,Chennai,Apple,iOS,6.2,4.4,267.8,194,4.0,1166,3.2,2.8,905,Gaming
U13303,53,Male,Chennai,Motorola,Android,5.8,12.7,218.5,182,4.1,4134,1.8,4.5,1475,Entertainment
U13304,44,Male,Hyderabad,Realme,iOS,10.8,9.9,51.0,135,3.3,3272,5.2,2.4,839,Social Media
U13305,53,Other,Hyderabad,Nokia,iOS,2.3,38.7,151.3,63,5.4,3119,4.1,3.6,908,Social Media
U13306,58,Other,Ahmedabad,Google Pixel,Android,2.3,19.0,84.9,115,2.1,9379,5.4,1.2,1384,Social Media
U13307,60,Other,Chennai,Oppo,iOS,8.6,3.9,129.1,47,1.5,8906,6.9,0.6,1235,Social Media
U13308,42,Male,Jaipur,OnePlus,iOS,8.2,28.3,12.2,58,4.9,2816,6.2,2.6,768,Social Media
